patrimonio;Descricao;dataBaixa;vidaUtil;valorBruto;depreciacao;valorLiquido
14294;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;6;1106,05;780,96;325,09
14301;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;6;1106,05;780,96;325,09
14306;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;6;1106,05;780,96;325,09
14312;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;6;1106,05;780,96;325,09
14313;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;6;1106,05;780,96;325,09
14319;APARELHO TELEFONICO KS COM TECLADO;09/01/2019;6;1106,05;780,96;325,09
14475;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;759,99;328,78;431,21
14599;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;800;463,88;336,12
14602;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;800;463,88;336,12
15849;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15850;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15851;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15852;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15853;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15854;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15855;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15856;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15857;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15858;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15859;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15860;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15861;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15862;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15863;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15864;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15865;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15866;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15867;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15868;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15869;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15870;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15871;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15872;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15873;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15874;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15875;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15876;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15877;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15878;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15879;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15880;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15881;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15882;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15883;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15884;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15885;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15886;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15887;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15888;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15889;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15890;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15891;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15892;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15893;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15894;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15895;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15896;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15897;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
