id;descricao;estado;vidaUtil;valorResidual;valorAtual;depreciacao;depreAcumulada;valorAtual
6006;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6008;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6009;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6010;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6011;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6013;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6015;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6017;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6018;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6019;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6021;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6022;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6023;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6024;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6026;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6027;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6028;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6029;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6030;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6034;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6042;ESTRADO EM MADEIRA;Bom;0;6;60;0;0;60
6043;ESTRADO EM MADEIRA;Bom;0;6;60;0;0;60
6044;ESTRADO EM MADEIRA;Bom;0;6;60;0;0;60
6045;ESTRADO EM MADEIRA;Bom;0;6;60;0;0;60
6046;ESTRADO EM MADEIRA;Bom;0;6;60;0;0;60
6047;ESTRADO EM MADEIRA;Bom;0;6;60;0;0;60
6048;ESTRADO EM MADEIRA;Bom;0;6;60;0;0;60
6049;ESTRADO EM MADEIRA;Bom;0;6;60;0;0;60
6050;ESTRADO EM MADEIRA;Bom;0;6;60;0;0;60
6051;ESTRADO EM MADEIRA;Bom;0;6;60;0;0;60
6052;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6053;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6054;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6055;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6056;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6057;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6058;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6059;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6060;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6061;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6062;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6063;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6064;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6065;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6066;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
